producer,processor prod,processor model,cores,core base speed (GHz),core boost speed (GHz),ram type,ram cap (GB),ssd (GB),hdd (GB),gpu prod,gpu size (MB),gpu base speed (GHz),gpu boost speed (GHz),screen type,screen size (inch),screen horizontal resolution,screen vertical resolution,sRGB (%),weight (kg),os,battery capacity (WHr),price(USD)
asus,intel,i5,2,2.3,2.8,ddr3,8,0,256,intel,1700,300,1000,led ips,13.3,1920,1080,0,1.45,windows home 10.00,50,1100
asus,intel,i7,6,2.6,5,ddr4,16,0,512,nvidia,4096,1530,1725,led ips,15.6,1920,1080,90,2.3,windows home 10.00,66,1100
asus,intel,i7,4,1.8,4.9,ddr4,16,1000,128,intel,1700,300,1150,led ips,15.6,1920,1080,90,1.9,windows home 10.00,56,1125
asus,intel,i5,4,1.6,3.9,ddr4,8,0,256,intel,1700,300,1100,led ips,15.6,1920,1080,60,1.8,windows home 10.00,42,1129
asus,amd,ryzen7,8,2,4.1,ddr4,8,0,256,nvidia,2048,1531,1594,led ips,15.6,1920,1080,60,1.9,windows home 10.00,56,1129
asus,intel,i7,4,1.8,4.9,ddr4,16,0,512,nvidia,2048,1519,1582,led ips,13.3,1920,1080,90,1.22,windows home 10.00,50,1136
asus,intel,i7,4,1.8,4.9,ddr4,16,0,512,nvidia,4096,1020,1245,led ips,15.6,3840,2160,90,1.65,windows home 10.00,71,1149
asus,intel,i7,4,1.8,4,ddr3,16,0,512,intel,1700,300,1150,led ips,13.3,1920,1080,90,1.1,windows pro 10.00,39,1150.5
asus,intel,i7,4,1.8,4.9,ddr3,16,0,512,nvidia,2048,1519,1582,led ips,14,1920,1080,90,1.26,windows home 10.00,50,1150.5
asus,intel,i7,4,1.8,4.9,ddr4,20,1000,512,intel,1700,300,1150,led ips,17.3,1920,1080,60,2.3,windows home 10.00,47,1150.5
asus,intel,i5,4,1.6,3.9,ddr4,8,0,512,intel,1700,300,1100,led ips,14,1920,1080,60,1.23,windows pro 10.00,50,1152.5
asus,amd,ryzen7,8,2.9,4.2,ddr4,16,0,1024,nvidia,6144,1140,1335,led ips,15.6,1920,1080,100,2.1,windows home 10.00,76,1158.5
asus,intel,i7,6,2.6,4.5,ddr4,32,500,256,nvidia,4096,1395,1560,led ips,15.6,1920,1080,60,2.4,windows home 10.00,48,1165.5
asus,intel,i7,4,1.8,4.9,ddr4,16,0,512,nvidia,2048,1519,1582,led ips,14,1920,1080,90,1.4,windows home 10.00,50,1170.5
asus,intel,i7,4,1.8,4.6,ddr4,16,0,512,nvidia,2048,1227,1468,led ips,13.9,1920,1080,100,1.1,windows pro 10.00,50,1199.5
asus,intel,i7,6,2.6,5,ddr4,8,0,1024,nvidia,6144,1455,1590,led ips,17.3,1920,1080,100,2.85,windows home 10.00,66,1199.5
asus,intel,i7,6,2.6,5,ddr4,16,0,512,nvidia,6144,960,1200,led ips,15.6,1920,1080,90,2.3,windows home 10.00,66,1199.5
asus,intel,i7,4,2.8,4.7,ddr4,16,0,512,nvidia,2048,720,930,led ips,14,1920,1080,90,1.18,windows pro 10.00,63,1200
asus,amd,ryzen7,4,2.3,4,ddr4,8,0,512,nvidia,6144,1455,1590,led ips,15.6,1920,1080,50,2.3,windows home 10.00,48,1219
asus,intel,i7,6,2.6,5,ddr4,16,0,512,nvidia,6144,1455,1590,led ips,15.6,1920,1080,100,1.9,windows home 10.00,76,1223
asus,amd,ryzen7,4,2.3,4,ddr4,16,0,512,nvidia,6144,1455,1590,led ips,17.3,1920,1080,90,2.58,windows home 10.00,64,1299.5
asus,intel,i7,6,2.6,5,ddr4,16,1000,256,nvidia,4096,1020,1245,led ips,15.6,1920,1080,100,2,windows pro 10.00,63,1299.5
asus,amd,ryzen7,8,2.9,4.2,ddr4,16,0,512,nvidia,6144,1140,1335,led ips,14,1920,1080,100,1.7,windows home 10.00,76,1300
asus,intel,i7,6,2.6,4.5,ddr4,16,0,512,nvidia,4096,1395,1560,led ips,17.3,1920,1080,60,2.85,windows home 10.00,66,1308
asus,amd,ryzen7,8,2.9,4.2,ddr4,16,0,512,nvidia,6144,960,1200,led ips,15.6,1920,1080,100,2.1,windows pro 10.00,76,1330
asus,intel,i7,6,2.6,4.5,ddr4,16,0,512,nvidia,6144,960,1200,led ips,15.6,1920,1080,100,2,windows home 10.00,76,1370.5
asus,intel,i7,6,2.6,4.5,ddr4,16,0,1024,nvidia,6144,960,1200,led ips,15.6,1920,1080,90,1.9,windows home 10.00,76,1400
asus,intel,i7,6,2.6,4.5,ddr4,16,0,1024,nvidia,4096,1395,1560,led ips,17.3,1920,1080,60,2.85,windows home 10.00,66,1407
asus,intel,i7,6,2.6,5,ddr4,16,0,256,nvidia,8192,1080,1285,led ips,15.6,1920,1080,100,1.9,windows home 10.00,76,1430
asus,intel,i7,6,2.6,4.5,ddr4,16,0,512,nvidia,6144,1455,1590,led ips,15.6,1920,1080,90,1.9,windows pro 10.00,76,1439
asus,intel,i7,4,1.8,4.9,ddr4,16,0,1024,nvidia,2048,1519,1582,led ips,14,1920,1080,90,1.5,windows pro 10.00,70,1439
asus,intel,i7,6,2.6,5,ddr4,16,0,1024,nvidia,8192,1215,1440,led ips,15.6,1920,1080,90,2.3,windows home 10.00,66,1449
asus,intel,i7,6,2.6,5,ddr4,16,0,1024,nvidia,6144,960,1200,led ips,15.6,3840,2160,100,1.9,windows home 10.00,76,1450.5
asus,intel,i7,4,1.8,4.6,ddr4,8,0,256,nvidia,2048,1519,1582,led ips,15.6,1920,1080,60,1.8,windows home 10.00,42,1459.5
asus,intel,i7,6,2.6,5,ddr4,24,0,2048,nvidia,4096,1530,1725,led ips,15.6,1920,1080,90,2,windows home 10.00,42,1496.5
